Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
554,54.1368863731794,0.9709988812794551,388.28,337.6,0.85,0.47,386.98,338.48,4.11,3.41,11557.11405102018
500,37.289138324639325,0.8604206327485442,323.63,386.58,0.59,0.63,323.14,386.55,2.22,1.51,9918.904953394554
49,15.464381804843303,1.6076792332400878,339.07,355.1,1.13,1.14,338.96,355.39,8.44,3.52,9310.855184101936
71,11.486445929722594,1.536182981845435,341.88,348.79,1.48,0.4,344.14,348.8,5.27,1.17,8462.463212134164
80,11.457980426402905,1.6075486643105503,358.1,348.35,1.26,1.0,359.3,346.72,5.39,7.29,6773.1528897306935
324,27.596417235342617,1.338135432118607,369.51,314.5,0.98,0.91,375.57,298.59,33.4,78.25,11845.97346873442
65,22.847921087907025,1.1011659544772165,333.84,357.82,1.06,0.31,332.19,357.74,3.43,2.85,9156.488423519499
113,12.597577963409387,1.8677981190234842,358.91,344.64,1.44,1.19,354.52,343.23,17.63,8.43,4306.818403369638
272,15.084344273075084,1.608598077419286,339.33,359.58,0.8,1.4,339.9,359.44,1.99,2.74,7687.370073427983
80,0.8226880636840098,1.741374200516364,349.42,362.98,1.64,0.59,348.4,363.72,6.85,2.57,9248.670862985979
75,152.0094680865631,0.6184312430650281,242.51,279.82,0.53,0.32,242.72,280.05,1.66,0.81,6332.398123412993
104,6.603013470738831,1.7078858724720372,354.67,350.33,1.27,1.14,357.11,349.97,5.77,4.24,9242.267307800876
173,32.83421260956509,1.3708043596805417,373.22,350.92,1.31,0.39,373.14,350.84,3.8,2.13,7822.742805911584
72,12.522639142439898,0.3283239849380429,341.15,349.76,0.31,0.12,341.35,349.42,1.93,1.67,7132.457978430975
28,33.08591067713634,1.9786079466055342,373.4,369.18,0.85,1.79,373.39,368.53,1.68,5.97,4963.412196625326
72,8.970427092789942,1.0894701821147068,356.34,351.51,0.7,0.84,352.68,349.58,12.82,8.97,4439.716108397117
89,69.96658458032303,1.78386224855726,399.47,355.79,1.75,0.34,399.12,354.58,5.04,3.59,6889.753645400215
42,33.80868862111428,1.7867250669429766,373.91,340.25,1.73,0.46,372.14,339.19,6.34,7.54,7564.915122278608
155,60.325461542768,1.4768805304368926,307.34,342.38,0.99,1.1,278.6,321.9,157.75,116.85,6648.022707963908
49,0.27712276343864845,1.2286305057433273,349.8,348.98,1.11,0.53,349.11,349.16,2.56,1.4,10247.612835375443
43,49.284955144630906,1.7185200299720271,384.85,418.33,0.12,1.71,108.88,22.25,1500.13,2176.91,6033.542772301037
1,2.722709116811749,0.2563729316979485,348.07,349.83,0.18,0.18,348.31,350.22,0.98,1.17,6839.489360320002
226,3.0047337951558832,0.5062456780055083,352.12,343.64,0.45,0.24,352.44,342.96,0.9,3.62,7367.025068164586
114,11.870951415730007,1.3290612166267117,358.39,351.72,1.13,0.69,358.43,353.92,1.62,6.82,8485.41018959356
274,2.2940069149979743,1.6410741835809672,348.38,344.33,1.03,1.28,347.28,353.73,16.87,20.72,6683.154579376711
157,16.10875695774189,0.6247445094784156,361.39,352.98,0.26,0.57,361.17,352.17,2.6,4.69,9790.170340695586
49,0.5720917500811298,1.3940727530424237,349.6,348.04,1.22,0.68,349.76,348.92,3.27,1.8,7098.3019751419415
19,107.6447660617323,1.1457299053532448,426.12,423.66,0.42,1.07,425.16,425.29,14.15,11.19,7469.778481730979
86,19.036180739096416,1.0634842422278428,336.54,353.54,0.8,0.7,334.4,353.72,3.48,1.67,11381.622999510599
100,10.184254706642847,0.8951808134888194,342.8,335.11,0.43,0.79,339.25,338.88,22.19,17.21,11170.599447697216
116,0.8702697046665362,1.0686041009606182,350.62,357.02,0.58,0.9,348.62,356.3,6.55,2.6,8307.298360233377
33,2.062999869776713,0.5307928045680491,348.54,355.55,0.46,0.26,349.51,356.37,6.47,2.29,5104.260658312738
103,1.783174063337526,1.519897309310046,348.74,352.05,0.72,1.34,348.15,353.23,4.65,5.99,6621.402995896382
116,14.438303417536018,0.6726796149148807,339.79,364.35,0.61,0.27,344.96,361.19,30.18,16.98,10023.158059588544
88,4.411436765687886,0.8924250973298851,346.88,360.09,0.66,0.6,348.03,360.58,5.97,3.77,9547.872671561538
36,14.40093879131299,1.5058843539244189,339.82,322.7,1.41,0.53,342.36,328.1,13.68,28.23,5346.342806058876
