Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
17,1.5515795959432621,1.810776637692988,351.1,351.74,1.08,1.45,351.42,351.86,1.63,1.48,7727.658514337963
50,8.912368440531358,0.3258864410795508,356.3,350.18,0.25,0.2,356.64,350.32,1.02,0.4,5929.010101071053
57,0.06636243478199567,0.9067929481799432,350.05,346.43,0.81,0.41,354.76,348.77,28.37,10.23,6612.012429318883
205,16.87080758406228,0.5419841452018023,361.93,351.74,0.33,0.43,361.59,352.57,3.9,3.11,5792.9375197103445
106,3.196217398249014,1.268835519777843,352.26,350.94,0.86,0.93,353.27,350.07,3.01,3.78,9676.128352101421
55,4.447110339169151,1.0433720944602234,346.86,345.54,0.45,0.94,346.21,345.15,3.12,2.19,7311.899971221399
160,11.034211093329578,1.8668324194782628,342.2,361.57,1.33,1.31,344.71,365.77,30.75,15.06,10982.710217089363
76,12.817909549131405,0.6532556225859136,359.06,354.94,0.42,0.5,358.73,353.86,3.45,2.46,9605.710931690046
180,3.2199703484905733,1.6990728401234292,347.72,356.55,0.77,1.51,347.9,357.3,1.19,3.69,8201.054905116789
162,7.411818674252856,1.9395858682620688,344.76,330.05,1.08,1.61,345.14,331.99,2.02,6.37,7762.000467907437
210,3.2274264637952568,1.2313336869483846,352.28,357.87,0.83,0.91,353.09,357.58,2.69,1.51,7642.287467206189
160,18.165977620881677,1.6868843178395452,337.15,371.35,1.5,0.77,337.68,370.59,2.94,8.46,10086.728332858407
51,3.025813288207262,1.6945027039348948,352.14,356.06,1.48,0.82,349.62,355.15,6.29,3.78,7362.417980968546
40,3.5185380925609024,0.838370548052246,347.51,340.37,0.15,0.83,347.1,340.34,1.94,1.01,5224.352392904571
76,55.68902759246182,1.2365887756168727,310.62,319.73,0.65,1.05,314.55,321.34,8.27,3.44,6918.218719284128
91,4.672064629340588,0.3057377680851551,346.7,354.53,0.07,0.3,347.22,354.58,2.85,1.07,7915.909041366986
41,4.0554427253242835,1.002698843350933,347.13,356.62,0.91,0.42,346.79,356.61,1.81,3.1,10295.93663626834
15,18.55984114965933,0.694612598654344,336.88,358.31,0.56,0.42,337.68,358.7,3.84,3.22,7285.073976847021
176,0.6781283532231432,1.2390540643658143,349.52,356.08,0.97,0.78,349.32,349.81,5.35,25.04,12567.41706447958
203,6.8681921379534625,1.90423696279689,354.86,361.62,1.22,1.46,358.62,362.27,9.16,5.2,30851.052461673087
479,49.864289260709015,0.4637819095447763,314.74,336.38,0.36,0.29,315.69,336.46,4.24,1.33,6731.410638580807
33,14.268635391884729,1.5992213215667246,339.91,345.94,0.72,1.43,335.52,345.67,15.13,5.21,21940.86074362244
