loss,accuracy,f1_m,precision_m,recall_m,val_loss,val_accuracy,val_f1_m,val_precision_m,val_recall_m
-165856.453125,0.5019687414169312,0.0,0.0,0.0,-170622.0,0.4948750138282776,0.0,0.0,0.0
-170790.578125,0.5019687414169312,0.0,0.0,0.0,-175659.265625,0.4948750138282776,0.0,0.0,0.0
-175800.890625,0.5019687414169312,0.0,0.0,0.0,-180783.28125,0.4948750138282776,0.0,0.0,0.0
-180889.0625,0.5019687414169312,0.0,0.0,0.0,-185971.546875,0.4948750138282776,0.0,0.0,0.0
-186042.78125,0.5019687414169312,0.0,0.0,0.0,-191227.375,0.4948750138282776,0.0,0.0,0.0
-191265.734375,0.5019687414169312,0.0,0.0,0.0,-196559.4375,0.4948750138282776,0.0,0.0,0.0
-196559.8125,0.5019687414169312,0.0,0.0,0.0,-201963.484375,0.4948750138282776,0.0,0.0,0.0
-201922.6875,0.5019687414169312,0.0,0.0,0.0,-207436.140625,0.4948750138282776,0.0,0.0,0.0
-207359.046875,0.5019687414169312,0.0,0.0,0.0,-212981.03125,0.4948750138282776,0.0,0.0,0.0
-212871.25,0.5019687414169312,0.0,0.0,0.0,-218612.421875,0.4948750138282776,0.0,0.0,0.0
-218461.09375,0.5019687414169312,0.0,0.0,0.0,-224311.125,0.4948750138282776,0.0,0.0,0.0
-224110.28125,0.5019687414169312,0.0,0.0,0.0,-230069.25,0.4948750138282776,0.0,0.0,0.0
-229834.671875,0.5019687414169312,0.0,0.0,0.0,-235918.0625,0.4948750138282776,0.0,0.0,0.0
-235629.375,0.5019687414169312,0.0,0.0,0.0,-241824.375,0.4948750138282776,0.0,0.0,0.0
-241492.65625,0.5019687414169312,0.0,0.0,0.0,-247803.265625,0.4948750138282776,0.0,0.0,0.0
-247432.921875,0.5019687414169312,0.0,0.0,0.0,-253863.1875,0.4948750138282776,0.0,0.0,0.0
-253439.328125,0.5019687414169312,0.0,0.0,0.0,-259982.28125,0.4948750138282776,0.0,0.0,0.0
-259518.046875,0.5019687414169312,0.0,0.0,0.0,-266184.8125,0.4948750138282776,0.0,0.0,0.0
-265679.21875,0.5019687414169312,0.0,0.0,0.0,-272470.53125,0.4948750138282776,0.0,0.0,0.0
-271905.96875,0.5019687414169312,0.0,0.0,0.0,-278808.625,0.4948750138282776,0.0,0.0,0.0
-278190.75,0.5019687414169312,0.0,0.0,0.0,-285217.09375,0.4948750138282776,0.0,0.0,0.0
-284547.21875,0.5019687414169312,0.0,0.0,0.0,-291698.71875,0.4948750138282776,0.0,0.0,0.0
-290983.6875,0.5019687414169312,0.0,0.0,0.0,-298257.40625,0.4948750138282776,0.0,0.0,0.0
-297489.03125,0.5019687414169312,0.0,0.0,0.0,-304888.625,0.4948750138282776,0.0,0.0,0.0
-304056.5625,0.5019687414169312,0.0,0.0,0.0,-311584.84375,0.4948750138282776,0.0,0.0,0.0
-310708.09375,0.5019687414169312,0.0,0.0,0.0,-318364.78125,0.4948750138282776,0.0,0.0,0.0
-317419.15625,0.5019687414169312,0.0,0.0,0.0,-325197.5625,0.4948750138282776,0.0,0.0,0.0
-324210.96875,0.5019687414169312,0.0,0.0,0.0,-332126.03125,0.4948750138282776,0.0,0.0,0.0
-331072.53125,0.5019687414169312,0.0,0.0,0.0,-339116.09375,0.4948750138282776,0.0,0.0,0.0
-338012.71875,0.5019687414169312,0.0,0.0,0.0,-346188.75,0.4948750138282776,0.0,0.0,0.0
-345019.125,0.5019687414169312,0.0,0.0,0.0,-353323.9375,0.4948750138282776,0.0,0.0,0.0
-352092.8125,0.5019687414169312,0.0,0.0,0.0,-360536.71875,0.4948750138282776,0.0,0.0,0.0
-359251.5,0.5019687414169312,0.0,0.0,0.0,-367827.5625,0.4948750138282776,0.0,0.0,0.0
-366470.96875,0.5019687414169312,0.0,0.0,0.0,-375180.75,0.4948750138282776,0.0,0.0,0.0
-373760.15625,0.5019687414169312,0.0,0.0,0.0,-382603.96875,0.4948750138282776,0.0,0.0,0.0
-381120.125,0.5019687414169312,0.0,0.0,0.0,-390108.71875,0.4948750138282776,0.0,0.0,0.0
