film name,year,genre,rating,sentiment
Guardians of the Galaxy,2014,Comedy ,5,0.15993942310163603
Guardians of the Galaxy,2014,Comedy ,1,-1.210777261
Guardians of the Galaxy,2014,Comedy ,1,-0.416870726
Guardians of the Galaxy,2014,Comedy ,8,0.2556345559068569
Guardians of the Galaxy,2014,Comedy ,1,-0.026432223
Guardians of the Galaxy,2014,Comedy ,5,-0.431571002
Guardians of the Galaxy,2014,Comedy ,1,0.16921477205370086
Guardians of the Galaxy,2014,Comedy ,7,0.3827231630673779
Guardians of the Galaxy,2014,Comedy ,7,0.16515299497896024
Guardians of the Galaxy,2014,Comedy ,10,0.7324588576068406
Guardians of the Galaxy,2014,Comedy ,7,0.3236480950616329
Guardians of the Galaxy,2014,Comedy ,3,0.36033491640987214
Guardians of the Galaxy,2014,Comedy ,8,-0.020223072
Guardians of the Galaxy,2014,Comedy ,1,0.073848338
Guardians of the Galaxy,2014,Comedy ,6,1.2360963097057018
Guardians of the Galaxy,2014,Comedy ,6,0.44810735121232287
Guardians of the Galaxy,2014,Comedy ,9,0.9402484171997618
Guardians of the Galaxy,2014,Comedy ,4,-0.384656443
Guardians of the Galaxy,2014,Comedy ,5,0.1710366282224314
Guardians of the Galaxy,2014,Comedy ,6,-0.153118897
Guardians of the Galaxy,2014,Comedy ,8,0.19670654649291971
Guardians of the Galaxy,2014,Comedy ,10,-0.091118756
Guardians of the Galaxy,2014,Comedy ,9,0.7313341368401507
Guardians of the Galaxy,2014,Comedy ,10,0.2246502343432425
Guardians of the Galaxy,2014,Comedy ,1,0.19194644829440313
Guardians of the Galaxy,2014,Comedy ,3,0.11088518770967523
Guardians of the Galaxy,2014,Comedy ,3,-0.843030237
Guardians of the Galaxy,2014,Comedy ,1,-0.737858628
Guardians of the Galaxy,2014,Comedy ,1,-0.060984221
Guardians of the Galaxy,2014,Comedy ,Null,-0.069511025
Guardians of the Galaxy,2014,Comedy ,10,0.29438354243302134
Guardians of the Galaxy,2014,Comedy ,8,0.053651209
Guardians of the Galaxy,2014,Comedy ,5,-0.113073171
Guardians of the Galaxy,2014,Comedy ,1,-0.151986925
Guardians of the Galaxy,2014,Comedy ,1,-0.444726118
Guardians of the Galaxy,2014,Comedy ,10,0.6227028843755696
Guardians of the Galaxy,2014,Comedy ,9,2.0042795666997018
Guardians of the Galaxy,2014,Comedy ,7,0.05611279
Guardians of the Galaxy,2014,Comedy ,2,-0.286916898
Guardians of the Galaxy,2014,Comedy ,1,-0.212938706
Guardians of the Galaxy,2014,Comedy ,5,0.27099796300186285
Guardians of the Galaxy,2014,Comedy ,6,-0.313996309
Guardians of the Galaxy,2014,Comedy ,10,0.12814660704240258
Guardians of the Galaxy,2014,Comedy ,7,0.8596521470961128
Guardians of the Galaxy,2014,Comedy ,7,0.22312872007152168
Guardians of the Galaxy,2014,Comedy ,6,0.5013703438671251
Guardians of the Galaxy,2014,Comedy ,1,-0.254717049
Guardians of the Galaxy,2014,Comedy ,7,0.016542443
Guardians of the Galaxy,2014,Comedy ,7,0.201130606
Guardians of the Galaxy,2014,Comedy ,6,0.090390358
Guardians of the Galaxy,2014,Comedy ,10,0.077410843
Guardians of the Galaxy,2014,Comedy ,8,0.2856501468695462
Guardians of the Galaxy,2014,Comedy ,9,1.3265530743435845
Guardians of the Galaxy,2014,Comedy ,10,0.4968157972784094
Guardians of the Galaxy,2014,Comedy ,10,0.32792002450655966
Guardians of the Galaxy,2014,Comedy ,10,-0.00754606
Guardians of the Galaxy,2014,Comedy ,10,0.7588319322016635
Guardians of the Galaxy,2014,Comedy ,10,0.8328365723464386
Guardians of the Galaxy,2014,Comedy ,10,0.5121448920497412
Guardians of the Galaxy,2014,Comedy ,10,1.6857189515819815
Guardians of the Galaxy,2014,Comedy ,1,-0.136160453
Guardians of the Galaxy,2014,Comedy ,10,1.2393190601267345
Guardians of the Galaxy,2014,Comedy ,10,0.753517354
Guardians of the Galaxy,2014,Comedy ,1,-0.135525838
Guardians of the Galaxy,2014,Comedy ,1,-0.405228618
Guardians of the Galaxy,2014,Comedy ,Null,-0.376237285
Guardians of the Galaxy,2014,Comedy ,8,0.3644979365140079
Guardians of the Galaxy,2014,Comedy ,5,0.39169894838886976
Guardians of the Galaxy,2014,Comedy ,9,-0.085579904
Guardians of the Galaxy,2014,Comedy ,4,-0.481134675
Guardians of the Galaxy,2014,Comedy ,5,0.14311820500005557
Guardians of the Galaxy,2014,Comedy ,1,-0.063137317
Guardians of the Galaxy,2014,Comedy ,10,0.9149751454731831
Guardians of the Galaxy,2014,Comedy ,9,0.7159289224326496
Guardians of the Galaxy,2014,Comedy ,7,0.11661657140342162
Guardians of the Galaxy,2014,Comedy ,5,0.23330289723854733
Guardians of the Galaxy,2014,Comedy ,2,-0.259815674
Guardians of the Galaxy,2014,Comedy ,3,-0.144335845
Guardians of the Galaxy,2014,Comedy ,8,0.2381764339531845
Guardians of the Galaxy,2014,Comedy ,4,0.5790679758901841
Guardians of the Galaxy,2014,Comedy ,8,1.2538714891327565
Guardians of the Galaxy,2014,Comedy ,6,-0.161905225
Guardians of the Galaxy,2014,Comedy ,10,0.5633973550208659
Guardians of the Galaxy,2014,Comedy ,8,1.3129106321590343
Guardians of the Galaxy,2014,Comedy ,7,0.5154847792004212
Guardians of the Galaxy,2014,Comedy ,7,0.5101560333456657
Guardians of the Galaxy,2014,Comedy ,4,0.051186139
Guardians of the Galaxy,2014,Comedy ,1,-0.769657866
Guardians of the Galaxy,2014,Comedy ,1,-0.268065147
Guardians of the Galaxy,2014,Comedy ,4,0.12060180081738367
Guardians of the Galaxy,2014,Comedy ,3,-0.1471356
Guardians of the Galaxy,2014,Comedy ,7,0.24659695309679988
Guardians of the Galaxy,2014,Comedy ,8,0.7868407528558825
Guardians of the Galaxy,2014,Comedy ,9,0.461297726
Guardians of the Galaxy,2014,Comedy ,Null,1.3977107849207422
Guardians of the Galaxy,2014,Comedy ,1,-0.438391854
Guardians of the Galaxy,2014,Comedy ,4,0.2674541344682434
Guardians of the Galaxy,2014,Comedy ,1,-0.594750321
Guardians of the Galaxy,2014,Comedy ,5,0.2792234511479676
Guardians of the Galaxy,2014,Comedy ,10,0.883184653
Guardians of the Galaxy,2014,Comedy ,9,0.3438931135104953
Guardians of the Galaxy,2014,Comedy ,9,0.37058682923744335
Guardians of the Galaxy,2014,Comedy ,Null,-0.520963738
Guardians of the Galaxy,2014,Comedy ,9,0.628711946
Guardians of the Galaxy,2014,Comedy ,9,0.7082789525496777
Guardians of the Galaxy,2014,Comedy ,9,1.4247027729152388
Guardians of the Galaxy,2014,Comedy ,10,0.6233797874431496
Guardians of the Galaxy,2014,Comedy ,10,0.18020674205337334
Guardians of the Galaxy,2014,Comedy ,10,0.863343288
Guardians of the Galaxy,2014,Comedy ,10,0.2256123196490065
Guardians of the Galaxy,2014,Comedy ,9,-0.087312327
Guardians of the Galaxy,2014,Comedy ,8,0.5907712591254253
Guardians of the Galaxy,2014,Comedy ,9,0.29001356244543186
Guardians of the Galaxy,2014,Comedy ,10,0.6775114090223617
Guardians of the Galaxy,2014,Comedy ,8,0.44426482692295144
Guardians of the Galaxy,2014,Comedy ,8,0.388077067
Guardians of the Galaxy,2014,Comedy ,10,0.14801673713808844
Guardians of the Galaxy,2014,Comedy ,8,-0.167277101
Guardians of the Galaxy,2014,Comedy ,5,0.02131891
Guardians of the Galaxy,2014,Comedy ,1,0.011814809
Guardians of the Galaxy,2014,Comedy ,9,1.0575086277112904
Guardians of the Galaxy,2014,Comedy ,2,-0.206670861
Guardians of the Galaxy,2014,Comedy ,4,-0.234208571
Guardians of the Galaxy,2014,Comedy ,2,-0.498278418
Guardians of the Galaxy,2014,Comedy ,5,-0.276067878
Guardians of the Galaxy,2014,Comedy ,1,0.085804083
